0	4.1	C
1	33.4	F
2	16.9	F
3	47.8	C
4	96.2	F
5	70.5	F
6	28.1	C
7	96.1	F
8	99.5	F
9	82.7	C
10	39.1	F
11	90.2	F
12	29.2	F
13	42.1	C
14	71.8	F
15	44.7	C
16	77.1	C
17	86.9	F
18	66.7	C
19	3.5	F
20	70.3	F
21	32.2	F
22	67.3	F
23	14.1	F
0	25.3	C
1	54.7	F
2	66.2	C
3	3.7	C
4	72.3	F
5	52.9	C
6	31.6	F
7	19	F
8	28.8	C
9	4	F
10	26.4	C
11	44.6	F
12	89	C
13	37	F
14	0.6	F
15	39.3	C
16	62.9	F
17	8.4	F
18	75.6	F
19	96.6	C
20	93.1	C
21	94.4	C
22	62.6	F
23	53.7	C
0	11.8	F
1	92.9	F
